Material,Material Description,Location,Limitations
DA327A5320,"BELLCRANK ASSY,UPLATCH ARRESTING HOOK",Madison,
DA327A5320-3,BELLCRANK ASSY,Madison,
DA327A5320-3,"BELLCRANK ASSY,AG U *CAI* *ECN*",Madison,
DB205,"AMPLIFIER, PAGING",Madison,
DB213,"AMPLIFIER, AUDIO",Madison,
DB215,"AMPLIFIER, AUDIO",Madison,
DB221,"AMPLIFIER, AUDIO",Madison,
DB407,"AMPLIFIER, AUDIO",Madison,
DB421,"AMPLIFIER, AUDIO",Madison,
DB443,"AMPLIFIER, AUDIO",Madison,
DB603,"GEN,AURAL WARN(S/N",Madison,
EMBS139-2,BATTERY-EMERGENCY LIGHTS,Madison,
FN1500,FUEL NOZZLE KIT,Madison,
FN850/3214,FUEL NOZZLE KT (PT6A-42),Madison,
FN850/3250,FUEL NOZZLE KIT,Madison,
HCB3TN3GT10178K3R,"PROPELLER, AIRCRAFT",Madison,
HCB3TN3GT10178NB3R,"PROPELLER, AIRCRAFT",Madison,
HCB3TN3GT10178NK3R,"PROPELLER, AIRCRAFT",Madison,
HCB4MP3A/M10877K,PROPELLER (S/N),Madison,
HCB4MP3C/M10476NSK,PROPELLER ASSEMBLY,Madison,
HC-E4A-2/E9612,"PROPELLER ASSY, AIRCRAFT",Madison,
HC-E4A-3M/E10478SK,"PROPELLER,AIRCRAFT",Madison,
HC-E4N3G/D9390SK1R,"PROPELLER ASSY, AIRCRAFT",Madison,
HYLZ50336-001,CABIN TEMP CONTROL,Madison,
HYLZ50336-1,"CONTROLLER, CABIN TEMPERATURE",Madison,
JX350J0007-2,"FLANGE,MACHINE",Madison,
JX350J0008-2,"FLANGE,ALTERED",Madison,
KIT-NOZZ-41/42,FUEL NOZZLE KIT PT6A-41/42,Madison,
KIT-NOZZ-65B,FUEL NOZZLE KIT PT6A (DUPLEX),Madison,
KIT-NOZZPOST3250,FUEL NOZZLE KIT PT6A,Madison,
L3CVADA554L0054006,"BRACKET,UPR HINGE,RUDDER (CSI)",Madison,
L3CVADA554L0063002,"FITTING-TAB CONTROL SUPPORT,RUDDER (CAI)",Madison,
L3CVADA554L0193002,"LINK-TAB CONTROL SUPPORT,RUDDER (CAI)",Madison,
L3CVADA554L0244002,"LINK,UPR HINGE,RUDDER (CSI)",Madison,
L3CVADA554L0246002,"BRACKET-LWR HINGE,RUDDER (CSI)",Madison,
MS20005-25,"BOLT, INTERNAL WRENCHING",Madison,
MS20005-36,"BOLT, INTERNAL WRENCHING",Madison,
MS21250-06030,"BOLT,TENSION,STEEL,EXT WRNCH,FLNGD,12-PT",Madison,
MS21250-09048,"BOLT,TENSION,STEEL,EXT WRNCH,FLNGD,12-PT",Madison,
MS21250-12062,"BOLT,TENSION,STEEL,EXT WRNCH,FLNGD,12-PT",Madison,
MUV901-57,STEP ASSY,Madison,
P6525322-0407,PROPELLER 4HFR34C652/L106LA-0,Madison,
P7025423-0150,"PROPELLER, AIRCRAFT",Madison,
PC17A,INVERTER POWER STATIC,Madison,
PT6A-60SERIES-FN,"FUEL NOZZ KIT,PT6A-60A,-65AG,-65B,-65R",Madison,
822-0370-462,Air Data Computer ADC-85A MFR Collins,San Angelo,Test and Inspection required by FAR 91.411 IAW FAR 43 Appendix E
822-0370-528,Air Data Computer ADC-85A MFR Collins,San Angelo,
822-1109-007,Air Data Computer ADC-3000 MFR Collins,San Angelo,
822-1109-023,Air Data Computer ADC-3000 MFR Collins,San Angelo,
822-1109-028,Air Data Computer ADC-3000 MFR Collins,San Angelo,
822-2083-001,Air Data Computer ADC-3010 MFR Collins,San Angelo,
822-2083-002,Air Data Computer ADC-3010 MFR Collins,San Angelo,
570-24929-105,Encoding Altimeter MFR Collins,San Angelo,
570-23932-105,Encoding Altimeter MFR Collins,San Angelo,
7000700-902,Air Data Computer AZ-600 MFR Honeywell,San Angelo,
7000700-923,Air Data Computer AZ-800 MFR Honeywell,San Angelo,
4016341-903,Altimeter BA-141 MFR Honeywell,San Angelo,
4016341-904,Altimeter BA-141 MFR Honeywell,San Angelo,
4016341-907,Altimeter BA-141 MFR Honeywell,San Angelo,
4016341-927,Altimeter BA-141 MFR Honeywell,San Angelo,
7000839-902,Altimeter MFR Honeywell,San Angelo,
23932-414,Altimeter MFR IDC/Kollsman,San Angelo,
28702-551,Encoding Altimeter MFR IDC/Kollsman,San Angelo,
43932-905,Altimeter MFR IDC/Kollsman,San Angelo,
90004-0034C211065,Air Data Computer MFR B&D,San Angelo,Test and Inspection required by FAR 91.411 IAW FAR 43 Appendix E
90004-0034C111065,Air Data Computer MFR B&D,San Angelo,Test and Inspection required by FAR 91.411 IAW FAR 43 Appendix E
501-1860-0201,Emergency Standby Indicating System MFR L3 Vertex,San Angelo,
501-1860-0203,Emergency Standby Indicating System MFR L3 Vertex,San Angelo,
501-1860-0401,Emergency Standby Indicating System MFR L3 Vertex,San Angelo,
501-1860-0601,Emergency Standby Indicating System MFR L3 Vertex,San Angelo,
501-1860-0603,Emergency Standby Indicating System MFR L3 Vertex,San Angelo,
9200-38000-0101,GH-3900 RSU MFR L3 Vertex,San Angelo,
011-02337-01,Air Data Computer GDC-7400 MFR Garmin,San Angelo,
MD15-321,Standby Altimeter Indicator MFR Mid Continent Inst.,San Angelo,
MD25-300,Standby Altimeter Indicator MFR Mid Continent Inst.,San Angelo,
4200-11,Standby Altimeter Indicator MFR Mid Continent Inst.,San Angelo,
5934P-3,Altimeter MFR United Instruments,San Angelo,
7519350-70051,Mode S Transponder MFR ACSS,San Angelo,Test and Inspection required by FAR 91.413 IAW FAR 43 Appendix F
7517800-55002,Mode S Transponder MFR ACSS,San Angelo,Test and Inspection required by FAR 91.413 IAW FAR 43 Appendix F
622-1270-001,Transponder TDR-90/94D MFR Collins,San Angelo,
622-9210-008,Transponder TDR-90/94D MFR Collins,San Angelo,
622-9210-501,Transponder TDR-90/94D MFR Collins,San Angelo,
822-1338-002,Transponder TPR-901 MFR Collins,San Angelo,
011-00779-21,Transponder GTX-33D MFR Garmin,San Angelo,
4070740-0501,Transponder APX-100 MFR Raytheon,San Angelo,
4079080-0509,Transponder APX-100 RT-1471 MFR Raytheon,San Angelo,
4079100-0509,Transponder APX-119 RT-1853B MFR Raytheon,San Angelo,
4079100-0530,Transponder APX-119 RT-1853B MFR Raytheon,San Angelo,
